Name,latitude,longitude,total_weight,total_quantity,user_id,types,skills,locality_key,delivery_preference,priority,area_id,return_weight_used
BRAHMA CHAITANYA STORES,13.1018141,77.5957036,51.8,5,10819,,delivery,560064#yelahanka-bengaluru_karnataka,10,16,5084,false
Pooja department store,13.0760397,77.5572066,287,10,6808,,delivery,560097#vidyaranyapura-bengaluru_karnataka,10,,,false
SRI CHOWDESHWARI RICE TRADERS,13.0576353,77.5894742,104,4,7570,,delivery,560092#sahakaranagar-bengaluru_karnataka,10,16,5084,false
rakesh rice traders,13.1089375,77.5633451,100,2,8243,,delivery,560064#yelahanka-bengaluru_karnataka,10,16,5084,false
MAHESHWARI RICE TRADERS,13.0760834,77.5574445,36,2,10406,,delivery,560097#vidyaranyapura-bengaluru_karnataka,10,16,5084,false
ISHWAR PROVISION STORE,13.087717704683358,77.5884247943759,148,6,8351,,delivery,560064#allalsandra-bengaluru_karnataka,10,16,5084,false
krishna rice traders,13.1176529,77.5607638,115.96,31,7357,,delivery,560064#yelahanka-bengaluru_karnataka,10,16,5084,false
P PATHAANJALI STORE,13.1332855,77.5719248,156,6,9699,,delivery,560064#yelahanka-bengaluru_karnataka,10,16,5084,false
vishnu provision store,13.1145706,77.5669995,62.4,14,9348,,delivery,560064#attur-bengaluru_karnataka,10,16,5084,false
SRI LAKSHMI VENKATESWARA PROVISION STORE,13.1087167,77.5631431,38.4,19,7308,,delivery,560064#attur-bengaluru_karnataka,10,16,5084,false
Sri Durga Provision store,13.1003931,77.5542396,152.96,5,6761,,delivery,560097#vidyaranyapura-bengaluru_karnataka,10,16,5084,false
surya provision store,13.0122093,77.5089762,172,5,5383,,delivery,560058#rajagopalanagara-bengaluru_karnataka,10,19,5089,false
S L V Store,13.0008531,77.5015212,180.9,13,5093,,delivery,560091#hegganahallicross-bengaluru_karnataka,10,19,5089,false
Hanuman provision store,13.0084742,77.4839326,236.9,10,5490,,delivery,560091#andhrahalli-bengaluru_karnataka,10,19,5089,false
sri Sai Balaji provision store,13.0063949,77.5147448,31.04,12,8612,,delivery,560058#laggere-bengaluru_karnataka,10,19,5089,false
Sri Manjunath Udupi Veg,12.9922721,77.5054772,76,2,9649,,delivery,560091#sunkadekatte-bengaluru_karnataka,10,19,5089,false
Easy buy super Mart,12.9963928,77.4855098,40.6,11,6836,,delivery,560091#herohalli-bengaluru_karnataka,10,19,5089,false
Sri Lakshmi venkateshwara provision Stores,13.0029208,77.4796357,242.51999999999998,24,6032,,delivery,560091#andhrahalli-bengaluru_karnataka,10,19,5089,false
Sri balaji provision Store,13.0012631,77.4978401,128,8,8376,,delivery,560091#hegganahallicross-bengaluru_karnataka,10,19,5089,false
Ashwini provision store,13.0096923,77.4780435,154,9,5127,,delivery,560091#andhrahalli-bengaluru_karnataka,10,19,5089,false
SRI REVANNA SIDDESHWARA WHOLESALE TRADERS -2,12.9964909,77.4991257,325.58,33,7993,,delivery,560091#mahadeshwaranagar-bengaluru_karnataka,10,19,5089,false
Shree Basaveshwara provision store,13.0065095,77.5017677,55,6,5194,,delivery,560091#hegganahallicross-bengaluru_karnataka,10,19,5089,false
sri  Venkateshwara Bakery and sweets,13.0079929,77.4853285,140,7,7869,,delivery,560091#andhrahalli-bengaluru_karnataka,10,19,5089,false
Ambika provision store,13.025426301914976,77.47222378849983,90,5,9128,,delivery,562162#gangodahalli-bengaluru_karnataka,10,19,5089,false
Krishna store,13.0141744,77.5104118,116,4,6788,,delivery,560058#rajagopalanagara-bengaluru_karnataka,10,19,5089,false
kabbalamma pravision store,13.004001,77.490671,83.34,43,6559,,delivery,560091#andhrahalli-bengaluru_karnataka,10,19,5089,false
Malikarjunswamy provision store,13.0126528,77.516333,102.22,21,8583,,delivery,560058#laggere-bengaluru_karnataka,10,19,5089,false
Sri Adibhyraveshwara rice traders,13.0006201,77.482618,184,6,6093,,delivery,560091#andhrahalli-bengaluru_karnataka,10,19,5089,false
veerabhadreshwara provision store,12.9955387,77.4978052,90,2,10458,,delivery,560091#mahadeshwaranagar-bengaluru_karnataka,10,19,5089,false
Arvind provision Store,13.0135068,77.5136898,112,3,10369,,delivery,560058#rajagopalanagara-bengaluru_karnataka,10,19,5089,false
Sri manjunatha provisions store,13.0123231,77.4829986,245.88,23,10388,,delivery,560091#andhrahalli-bengaluru_karnataka,10,19,5089,false
Ramdev Provision  Stores,13.0228992,77.4578275,260,10,5999,,delivery,562162#lakkenahalli-bengaluru_karnataka,10,19,5089,false
Sri Sai provision Store,13.0103953,77.4958492,52,2,10418,,delivery,560091#andhrahalli-bengaluru_karnataka,10,19,5089,false
sri veeranjaneya provision store,12.9980344,77.4958575,128,7,10391,,delivery,560091#mahadeshwaranagar-bengaluru_karnataka,10,19,5089,false
sri byraweshwara Stores,13.0059902,77.5052107,260,10,5574,,delivery,560091#hegganahallicross-bengaluru_karnataka,10,19,5089,false
S L N Provision store,13.012389,77.520307,130,3,5386,,delivery,560058#rajagopalanagara-bengaluru_karnataka,10,19,5089,false
SRI KEMPAMMADEVI RICE TRADERS,12.9973001,77.5007527,90,3,5078,,delivery,560091#sunkadekatte-bengaluru_karnataka,10,19,5089,false
Nandi provision store,13.0246353,77.4713044,83.52,12,8079,,delivery,562162#gangodahalli-bengaluru_karnataka,10,19,5089,false
om Shakthi provision store,13.0006324,77.4982464,80,2,5098,,delivery,560091#hegganahallicross-bengaluru_karnataka,10,19,5089,false
SRI Nanjundeswara store,13.0024239,77.5007203,18.92,43,10679,,delivery,560091#hegganahallicross-bengaluru_karnataka,10,19,5089,false
sri lakshmi channakeshava traders,13.027704018541256,77.55711570382118,154,5,6448,,delivery,560022#yeshwanthpur-bengaluru_karnataka,10,15,5090,false
sri ragavedra general store,13.031910536633426,77.60709296911955,300,6,8811,,delivery,560032#bhuvaneshwarinagar-bengaluru_karnataka,10,15,5090,false
Welcome provision store,13.0384297,77.6022004,130,4,8395,,delivery,560032#nagenahallimainroad-bengaluru_karnataka,10,15,5090,false
sri Ranganath Store,12.9957747,77.5769547,112.32,10,8102,,delivery,560003#malleshwaram-bengaluru_karnataka,3,15,5090,false
M M STORES,13.0184034,77.5879622,70,3,7731,,delivery,560032#ganganagar-bengaluru_karnataka,10,15,5090,false
sri Balaji rice traders,13.0376091,77.596684,100,2,8872,,delivery,560032#cholanakanahalli-bengaluru_karnataka,10,15,5090,false
new provision store,12.993593,77.5930732,87.6,8,8037,,delivery,560001#vasanthnagar-bengaluru_karnataka,10,15,5090,false
Vandana provision store,12.8962062,77.4539424,92.08,16,9752,,delivery,560060#doddabele-bengaluru_karnataka,10,18,5143,false
MN Fazil Store,12.892317244362323,77.4579755589366,260,10,9931,,delivery,560073#anchepalya-bengaluru_karnataka,10,18,5143,false
Poorvika condiments & Provision Store,12.877884272146163,77.5166991725564,358,15,9568,,delivery,560062#chikkegowdahalli-bengaluru_karnataka,10,18,5143,false
Sri Byraveshwara Rice Traders,12.9106515,77.4864491,303,12,9316,,delivery,560060#bazarstreetkengeri-bengaluru_karnataka,10,18,5143,false
Sri Venkateshwara provision stores,12.8698003,77.4798335,157,13,10451,,delivery,560060#h.gollahalli-bengaluru_karnataka,10,18,5143,false
